"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ANTHRO","270A","Anthropology","Seminars in Linguistic Anthropology: Semantics","4","4","-","<Formerly 270A and 271A-271B.>","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","270B","Anthropology","Seminars in Linguistic Anthropology: Fundamentals of Language in Context","4","4","-","Intensive introduction to the study of language as a cultural system and speech as socially embedded communicative practice. This is the core course for students wishing to take further coursework in linguistic anthropology.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","280","Anthropology","Seminars in Area Studies","0","0","-","Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","280B","Anthropology","Seminars in Area Studies: Africa","4","4","-","Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","280C","Anthropology","Seminars in Area Studies: South Asia","4","4","-","Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","280D","Anthropology","Seminars in Area Studies: China","4","4","-","Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","280X","Anthropology","Seminars in Area Studies: Special Topics in Area Studies","4","4","-","Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","290","Anthropology","Survey of Anthropological Research","1","1","-","Required each term of all registered graduate students prior to their advancement to Ph.D. candidacy.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","291","Anthropology","Professional Development in Anthropological Archaeology","1","1","-","Required each term of all registered graduate students in Anthropology specializing in archaeology prior to their advancement to Ph.D. candidacy. ","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","292","Anthropology","Experiments in Collaboration and Reciprocal Transformation","4","4","-","Collaboration in ethnographic praxis on a local and global scale in folkloristics, sociocultural, linguistic, media, and medical anthropology, producing projects grounded in meaningful engagement with communities. Graduate students, working with lay mentors and faculty, will design and begin implementation of projects that break through infrastructures of theory, research, pedagogy, and practice that reproduce racial hierarchies and that erase anti-racist alternatives.
","-","Course may be repeated for credit with instructor consent.","-","-","-"
"ANTHRO","296A","Anthropology","Supervised Research","2","12","-","Practice in original field research under staff supervision. One unit of credit for every four hours of work in the field.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","296B","Anthropology","Supervised Research","4","4","-","Analysis and write-up of field materials.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","298","Anthropology","Directed Reading","1","8","-","Individual conferences intended to provide directed reading in subject matter not covered by available seminar offerings.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","299","Anthropology","Directed Research","1","12","-","Individual conferences to provide supervision in the preparation of an original research paper or dissertation.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","301","Anthropology","Professional Training: Teaching","1","6","-","Group consultation with instructor. Supervised training with instructor on teaching undergraduates.","-","Course may be repeated for a set number of units.","-","-","-"
"ANTHRO","375","Anthropology","Graduate Pedagogy Seminar","3","3","-","Training in both the logistics and the pedagogical issues of undergraduate teaching.","-","Course is not repeatable for credit.","-","-","-"
